skeleton,n_treenodes_left,n_inputs_left,n_outputs_left,n_treenodes_right,n_inputs_right,n_outputs_right
5937084,4661,323,229,0,0,0
5938794,3003,152,64,0,0,0
5946241,1069,22,38,4609,207,45
5955853,0,0,0,1173,10,2
5956787,3,0,0,1644,30,0
5959820,1365,66,31,0,0,0
5963873,2353,104,67,0,0,0
5966099,1750,139,82,7679,461,74
4598109,544,3,8,3744,264,0
5971400,1818,97,63,5065,348,30
5973097,1095,39,36,3297,170,16
5975584,188,7,6,1473,75,11
5976168,1063,24,37,2892,178,5
5993001,0,0,0,1788,67,18
5993765,0,0,0,1784,71,3
5995125,0,0,0,1166,65,5
5996485,569,6,20,1541,81,8
5999941,0,0,0,261,0,0
6011278,874,47,0,683,32,26
6046598,0,0,0,431,0,1
6047538,0,0,0,352,1,0
6049565,653,45,46,1166,59,9
6061068,0,0,0,3672,192,57
6111289,678,17,17,1886,58,0
6114695,117,0,2,1975,78,14
6125806,10,0,0,1561,86,5
6143930,3760,169,129,3811,199,31
6152239,47,1,1,619,0,0
6153877,0,0,0,2859,271,7
6154200,0,0,0,1870,55,3
6154921,0,0,0,1640,76,0
6155577,0,0,0,1248,35,2
6156152,0,0,0,2904,228,8
6156597,0,0,0,584,0,0
6182848,1050,18,37,1848,94,1
6188181,1134,55,60,2146,156,1
6190181,1327,25,82,3029,307,1
6192490,0,0,0,469,0,0
6193472,547,9,29,3156,139,20
6218461,684,13,18,1318,31,21
6219445,0,0,0,215,5,0
6219781,0,0,0,1193,39,23
6220384,0,0,0,1240,42,38
6221114,0,0,0,399,0,0
6229682,663,4,0,0,0,0
6250655,0,0,0,1152,16,19
6252764,0,0,0,1024,4,14
6254216,0,0,0,1186,4,3
6290724,540,21,34,4559,385,39
6298455,1860,121,19,443,13,23
6300434,470,6,44,4247,453,66
6317793,832,19,28,5387,292,37
6445994,2062,75,2,467,5,2
6446394,555,0,1,2878,210,0
7394271,2825,139,49,0,0,0
6494274,3050,181,37,0,0,0
6494382,2836,102,57,0,0,0
6557581,0,0,0,6281,1127,268
6572414,2773,163,0,449,2,6
6591182,3095,311,17,763,30,44
6597872,772,21,45,3028,317,28
6604203,1188,27,12,316,1,1
6609380,0,0,0,3664,234,66
6610913,780,22,58,2302,130,3
6611100,966,45,51,5128,439,28
6611894,1572,138,89,4099,380,78
5484314,2058,91,36,0,0,0
6623049,1084,68,34,0,0,0
6623089,1200,76,30,0,0,0
6633635,2184,88,23,563,7,25
6651098,608,10,17,760,10,0
6653450,908,13,38,1766,78,0
6692908,645,2,19,3809,182,46
6699205,0,0,0,3185,346,30
6700147,0,0,0,2244,113,0
6702943,365,15,25,1079,68,2
6703240,0,0,0,3554,234,69
8399890,2416,171,63,0,0,0
6704232,3151,162,110,0,0,0
6723364,2676,169,38,0,0,0
6729443,641,31,18,0,0,0
6978516,0,0,0,603,18,0
6978585,2246,94,0,0,0,0
7515491,1902,159,49,0,0,0
7005145,1573,108,6,198,0,0
7005152,812,0,0,154,0,0
7005160,750,0,0,95,0,0
7005168,653,0,0,136,0,0
7005176,507,0,0,66,0,0
7005184,1467,50,0,324,0,0
7025064,2185,100,39,0,0,0
7025831,1324,33,22,0,0,0
7026287,2621,203,16,1432,89,42
8052161,2058,144,53,0,0,0
7053966,3498,248,46,1142,28,43
7055857,2901,521,32,786,48,29
7056904,2874,306,51,0,0,0
7057730,2256,124,32,0,0,0
8974428,1676,63,38,0,0,0
7058243,2707,336,72,0,0,0
7065182,1015,33,43,3362,392,17
7092086,2114,93,57,0,0,0
7092417,1755,137,38,0,0,0
7107433,2419,176,55,0,0,0
7130033,1512,60,6,486,4,14
7168356,2536,81,69,0,0,0
7187384,4738,283,271,0,0,0
7196392,0,0,0,2855,192,87
7198338,1756,144,62,0,0,0
7215582,0,0,0,222,0,0
7227010,1820,46,5,479,0,1
7283193,1614,61,33,0,0,0
7335439,1513,70,0,109,2,0
7338309,1696,53,1,414,0,1
7371184,388,22,32,1918,47,10
7371869,0,0,0,336,0,0
7372611,0,0,0,402,0,0
7373095,0,0,0,559,0,0
7388340,2948,200,56,0,0,0
7421507,23,0,0,5955,426,61
7422253,0,0,0,1638,87,28
7422595,0,0,0,4150,200,45
7429933,0,0,0,5045,209,44
7433824,0,0,0,177,0,0
7439913,695,23,0,0,0,0
7467027,0,0,0,7769,517,153
7449767,356,5,13,1454,54,7
7476468,1554,61,5,0,0,0
7503199,0,0,0,4114,205,99
7529574,75,0,1,1101,5,0
7530253,33,0,1,1329,18,1
7557604,2750,151,66,0,0,0
7563413,0,0,0,1168,33,15
7569260,424,1,0,2355,82,1
7571966,391,1,0,1253,19,1
7573476,398,0,0,1670,74,0
7574701,0,0,0,3567,295,58
7587948,0,0,0,2218,132,5
7589765,88,1,1,2011,89,3
7590264,522,1,2,2360,86,1
7594047,1596,46,91,3459,214,11
7600311,0,0,0,4190,357,70
7612147,0,0,0,5640,460,104
7616956,0,0,0,6415,711,85
7688300,0,0,0,2969,122,53
7690945,0,0,0,2781,165,89
7692008,0,0,0,1818,78,20
7693659,0,0,0,847,0,0
7700444,2295,214,3,1773,82,170
7719118,829,16,45,3091,159,27
8609902,0,0,0,201,0,0
7786053,0,0,0,4033,225,211
7807684,480,7,18,2615,104,17
7829784,0,0,0,2971,168,81
7852250,1837,137,53,0,0,0
7845346,2105,161,54,0,0,0
7851153,1440,44,4,0,0,0
7864823,1891,122,54,0,0,0
7790955,0,0,0,467,0,0
7865652,1971,163,70,0,0,0
7865696,1723,96,25,0,0,0
7865767,1906,169,54,0,0,0
7873135,2462,189,86,0,0,0
7910624,3200,277,57,0,0,0
7916593,2003,107,58,0,0,0
8340950,2745,131,63,0,0,0
7939890,5829,979,232,0,0,0
7939979,6291,1124,232,0,0,0
7941642,4065,379,142,0,0,0
7941652,5185,409,199,0,0,0
7955278,823,8,2,0,0,0
9291938,0,0,0,2485,103,44
7980369,1103,88,47,2575,214,11
7982307,0,0,0,1289,116,1
7982324,0,0,0,1588,90,0
7983899,6084,641,110,0,0,0
8012953,1221,26,27,0,0,0
8019816,977,50,42,2091,147,13
8025665,1297,125,0,1249,20,46
8034919,925,74,50,3600,287,30
8037197,3106,195,52,0,0,0
8039730,418,4,0,0,0,0
8047280,1251,121,6,0,0,0
8065380,0,0,0,4213,206,61
8065771,1160,32,55,4738,323,17
8066171,0,0,0,325,0,0
8066542,0,0,0,4059,263,189
8980589,0,0,0,8895,1614,226
8069432,507,0,0,4171,260,94
8069478,1278,62,52,3521,249,20
9556700,0,0,0,3943,251,190
8066411,0,0,0,1608,53,5
8070872,1601,55,3,250,13,14
8252067,0,0,0,1915,103,30
8253413,0,0,0,2306,175,46
8254894,0,0,0,1394,19,33
8256186,0,0,0,2313,140,71
8259179,0,0,0,393,1,0
8259192,0,0,0,1237,21,3
8259199,0,0,0,465,3,0
8260011,0,0,0,1472,33,7
8260935,0,0,0,216,0,0
8262302,4189,250,241,0,0,0
8262372,5204,365,214,0,0,0
8262503,3441,162,185,0,0,0
8263140,3099,190,116,0,0,0
8263285,2777,162,111,0,0,0
8068173,0,0,0,5029,324,177
7982896,2657,121,27,2567,81,72
8271875,1440,136,40,1237,65,1
8274021,3676,285,69,0,0,0
8274902,0,0,0,2963,192,102
8276782,6281,507,110,0,0,0
8305958,0,0,0,2965,149,40
8307514,0,0,0,3645,195,45
8310087,0,0,0,4290,304,78
8310955,0,0,0,3855,246,71
8313802,0,0,0,1855,68,39
8318678,1905,107,27,0,0,0
8318813,1081,42,41,1408,40,0
8319311,2053,150,48,2803,108,8
8347491,315,0,0,0,0,0
8347613,3280,145,24,509,14,26
8347720,1181,64,15,0,0,0
8347907,720,31,33,0,0,0
8348277,1208,46,15,0,0,0
8349553,360,17,29,1991,123,27
8355834,283,0,0,0,0,0
8356239,236,0,0,0,0,0
8357933,1522,138,2,0,0,0
8368854,155,0,0,0,0,0
8391330,690,44,3,0,0,0
8393981,2440,122,75,0,0,0
8229118,1136,21,23,5151,248,44
8412625,548,12,20,3465,172,40
8413543,0,0,0,1456,34,35
8413663,0,0,0,3715,220,151
8423405,2493,133,44,0,0,0
8423627,248,3,0,0,0,0
8426335,268,2,0,0,0,0
8427677,0,0,0,2308,107,33
8504660,0,0,0,2881,127,50
8451818,785,42,39,3279,167,46
8075484,634,12,27,2699,220,11
8078096,2978,197,49,0,0,0
8094859,0,0,0,4700,461,68
8102935,3634,315,59,0,0,0
8118474,5738,422,252,0,0,0
8127390,0,0,0,2853,92,49
8127911,0,0,0,55,0,0
8132513,771,22,38,2598,205,25
8138520,0,0,0,572,3,0
8138616,0,0,0,2911,128,55
9275210,0,0,0,2619,126,66
8140109,0,0,0,2106,170,82
8142831,1303,58,1,728,12,37
8154054,305,2,0,0,0,0
7828725,0,0,0,2899,162,95
8159396,0,0,0,943,22,1
7868195,0,0,0,2896,195,108
8161142,0,0,0,3065,116,48
8161148,0,0,0,4296,324,59
8167696,938,51,33,0,0,0
8184598,386,13,25,3385,224,25
8193545,0,0,0,1443,58,0
8198238,0,0,0,6885,1201,239
8198317,0,0,0,6047,1044,262
8198416,0,0,0,6159,480,244
8198513,0,0,0,5678,436,220
8199671,0,0,0,4643,361,139
8203947,2331,180,8,2136,142,75
8177199,2807,104,90,1545,79,13
8208038,68,0,0,0,0,0
8216541,483,12,0,0,0,0
8227502,0,0,0,725,21,0
8231264,0,0,0,3236,196,58
8238322,5186,332,55,1660,56,59
8243455,0,0,0,2285,193,65
8270683,0,0,0,3095,162,55
8244723,0,0,0,3053,281,99
8244823,0,0,0,2466,181,74
